Data,Sucesso,Beta0,Beta1,Beta2,Beta3,Tau1,Tau2,Custo,NumTitulos,OutliersRemovidos,UsouPreviousParams,Reotimizado,ErroMensagem
2024-02-19,true,0.10973471083371757,0.002899599581826906,-0.05561363191502636,-0.0045975306248129625,0.7544242083182664,50.04799999222637,0.8374385828793438,19,0,true,false,
2024-02-20,true,0.11432983592372005,-0.0017130521698784404,-0.06269590976257348,-0.04791123969489944,0.8241389274088043,50.04799999921443,0.5769343049118058,18,1,true,false,
2024-02-21,true,0.08335146597977118,0.02930924868064306,-0.02578814355223329,0.07166390871085679,0.5600981462375805,6.059220396369734,0.6180756667618984,19,1,true,false,
2024-02-22,true,0.09147045730406861,0.02117503646925154,-0.03727091109878303,0.04724449342737686,0.6495126859091825,6.20989568214467,1.0493079624780428,19,0,true,false,
2024-02-23,true,0.11433913849128621,-0.0017217356462593536,-0.06340140226307693,-0.05117050449128967,0.8278580932789149,50.047999999999995,0.9891424496186739,18,1,true,false,
2024-02-26,true,0.09773793056911836,0.01491514103077277,-0.042523999465001225,0.030913228307492456,0.6390636748873595,6.697879644851101,0.7802122819466495,19,1,true,false,
2024-02-27,true,0.08253636692151872,0.030132999450673735,-0.020139687565186956,0.07498064630636964,0.4805000000063608,5.9343365128601935,0.9190589936603162,19,0,true,false,
2024-02-28,true,0.09904883590695115,0.013595210074185238,-0.04799438372092996,0.030139165938273923,0.6969983259040117,5.683752363253248,0.7405403575572029,19,0,true,false,
2024-02-29,true,0.11223414854925805,0.0003982473080900194,-0.0611281662905003,-0.024817190314872097,0.7642379939822534,50.047999999999995,0.7845401641368243,19,1,true,false,
2024-03-01,true,0.08559736808212269,0.027074060434179224,-0.027600075464369447,0.0659160845829018,0.5252762708983398,6.125961443063162,0.6298334680929216,19,1,true,false,
2024-03-04,true,0.07310342136960897,0.039051929270347854,0.21837053927794775,-0.2004,3.2063963324228237,1.9520000000000002,6.053316389153185,19,0,true,false,
2024-03-05,true,0.10845869812263499,0.004188329674181179,-0.0571769634697716,-0.0013099484001981255,0.7119620175701201,1.9520000002983096,0.915982803930282,19,0,true,false,
2024-03-06,true,0.07855048275786776,0.034126230665386184,-0.01915332594051929,0.08292980092514496,0.48050000000000004,5.974237383785436,0.6076134589634922,19,0,true,false,
2024-03-07,true,0.08112711717175308,0.0315570152739024,-0.02297713151533949,0.07407332727726884,0.48050000000000004,5.960724509435605,0.5004211782850551,19,0,true,false,
2024-03-08,true,0.10956634490372075,0.003086470049057984,-0.060934965121248186,-0.021300649956485892,0.7080277972243517,50.047999999510516,0.6526523058718378,19,1,true,false,
2024-03-11,true,0.10672894351371565,0.005944444466262802,-0.05904819617012298,0.004383684710749722,0.6484040487095383,1.9520000000000002,0.9584147351629889,19,0,true,false,
2024-03-12,true,0.061056816380019495,0.051021444460934255,0.23753336946930634,-0.2004,3.41787374680045,1.9520000000000002,7.725248310821826,19,1,true,false,
2024-03-13,true,0.11132906384643569,0.0013281063226001284,-0.06477139361728024,-0.028738226490742043,0.7126711349296384,50.047999999987745,0.6881281262536468,19,0,true,false,
2024-03-14,true,0.12343881434602909,-0.010828947949913814,-0.07815930252998267,-0.05328039360366248,0.8934828773693492,15.282575445523937,3.5407497160532206,19,0,true,false,
2024-03-15,true,0.11253793793401683,0.00011399917438460648,-0.06550940294604198,-0.03951843929520679,0.693670522931056,50.04799999983941,0.8457193419788832,19,0,true,false,
2024-03-18,true,0.11162792906097307,0.0010183328400801802,-0.061597017906329994,-0.02224146824161411,0.6911066465501833,50.04799999992628,1.0832265805402583,19,0,true,false,
